file,result,phase,errors_number,warnings_number,errors_messages,warnings_messages
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_033D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_025.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_066D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_036D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_009.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_041D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_036.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_028.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_018.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_056.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_036.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_065.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
